Operateur;x;y;2G;3G;4G
20801;102980;6847973;1;1;0
20810;103113;6848661;1;1;0
20820;103114;6848664;1;1;1
20801;112032;6840427;0;1;1
20801;115635;6799938;1;1;0
20820;124571;6834344;1;1;1
20820;124695;6799102;1;0;0
20801;124754;6834397;1;1;0
20820;126832;6850891;1;1;0
20801;126839;6850905;1;1;0
20810;127043;6835882;1;1;1
20801;127568;6845233;1;1;1
20801;128710;6798555;1;1;1
20820;128752;6833527;1;1;1
20815;128760;6833539;0;1;1
20801;128766;6833546;1;1;1
20810;128770;6833549;1;1;0
20820;128841;6844669;1;1;1
20815;128862;6844668;0;1;1
20815;129220;6848789;0;1;1
20810;129264;6848863;1;1;0
20820;129846;6839759;1;1;0
20801;129865;6839792;1;1;1
20820;129878;6798001;1;1;0
20810;129879;6797996;1;1;0
20815;129898;6798012;0;1;1
20810;130114;6854345;1;1;0
20810;130418;6842903;1;1;0
20820;133248;6855889;1;1;0
20810;134821;6834024;1;1;1
20815;134823;6834038;0;1;1
20820;135262;6852772;1;1;1
20810;135263;6852800;1;1;0
20815;135264;6852783;0;1;0
20801;135264;6852806;1;1;1
20801;135485;6833857;1;1;1
20801;136567;6836278;0;1;1
20810;136592;6841494;0;1;0
20801;136595;6841496;0;1;1
20810;136658;6836986;1;1;1
20801;136672;6836980;1;1;0
20820;136709;6836971;1;1;1
20810;136918;6844810;1;1;0
20820;136926;6833491;1;1;1
20810;137269;6797110;1;1;0
20801;137508;6843513;1;1;1
20820;137794;6843213;1;1;1
20801;137903;6835712;1;1;1
20815;137945;6843006;0;1;1
20810;138045;6836907;1;1;1
20815;138048;6836906;0;1;1
20820;138073;6823980;1;1;1
20801;138074;6823972;1;1;0
20810;138177;6823771;1;1;0
20815;138179;6823798;0;1;0
20810;138848;6856582;1;1;0
20820;138848;6856585;1;1;0
20815;139223;6852006;0;1;0
20820;139226;6852004;1;1;1
20801;139381;6812351;1;1;0
20810;139902;6835505;1;1;1
20801;139907;6835500;1;1;0
20801;140028;6795550;1;1;1
20810;140032;6795537;0;1;0
20820;140033;6795536;1;1;0
20815;140035;6795539;0;1;1
20801;140057;6833570;1;1;1
20810;140081;6842315;1;1;0
20810;140594;6833532;1;1;1
20820;140606;6833537;1;1;1
20820;140746;6841216;1;1;1
20801;140754;6841227;1;1;1
20820;141217;6845048;1;1;1
20801;141469;6794973;1;1;1
20815;141897;6840844;0;1;1
20801;141899;6840848;1;1;1
20801;142146;6834833;1;1;0
20801;142162;6845551;1;1;0
20801;142505;6839777;1;1;0
20810;142515;6839739;1;1;0
20801;142613;6818411;0;1;1
20801;142726;6858673;1;1;0
20820;142727;6858669;1;0;0
20801;142764;6835819;0;1;1
20810;143070;6795023;1;1;0
20801;143096;6835223;1;1;0
20810;143101;6835220;1;1;1
20801;143246;6796660;1;1;0
20820;143252;6836009;1;1;1
20820;143253;6796649;1;1;0
20815;143261;6796657;0;1;1
20810;143346;6834453;1;1;1
20820;143534;6835381;1;1;1
20810;143693;6838607;1;1;1
20801;143706;6835896;1;1;1
20820;143721;6836353;0;1;0
20820;143744;6836137;1;1;1
20815;143846;6836139;0;1;1
20810;143853;6836141;1;1;1
20801;144094;6837276;1;1;1
20810;144485;6820483;1;1;0
20815;144487;6820496;0;1;1
20801;144607;6820243;1;1;1
20810;144607;6846681;1;0;0
20820;144650;6835630;1;1;1
20810;144663;6835636;1;1;1
20815;144668;6835629;0;1;1
20820;144702;6838541;1;1;1
20815;144775;6838411;0;1;1
20801;144789;6838423;1;1;1
20801;144796;6835589;1;1;1
20810;144880;6856807;1;1;1
20801;145035;6836166;0;1;1
20810;145056;6841887;1;1;1
20801;145060;6841895;1;1;0
20820;145061;6841894;1;1;1
20815;145062;6841894;0;1;1
20820;145154;6836575;1;1;1
20810;145204;6835519;1;1;1
20801;145216;6837970;1;1;1
20810;145218;6837969;1;1;1
20801;145233;6836599;1;1;1
20810;145235;6836483;1;1;1
20815;145247;6836492;0;1;1
20801;145347;6835997;1;0;0
20820;145445;6860991;1;1;0
20801;145453;6855967;0;1;0
20801;145456;6823087;0;0;0
20820;145497;6835869;1;1;1
20820;145536;6820163;1;1;1
20801;145615;6835818;1;1;1
20801;145696;6838740;1;1;0
20820;145754;6837668;1;1;1
20815;145754;6837679;0;1;1
20810;145934;6847505;1;1;0
20820;145949;6847510;1;1;0
20810;146006;6838487;1;1;1
20815;146011;6838496;0;1;1
20801;146059;6857350;1;1;1
20815;146069;6836684;0;1;1
20801;146090;6835696;1;1;0
20810;146105;6836686;1;1;1
20820;146264;6791515;1;1;0
20815;146265;6791515;0;1;1
20801;146280;6837789;1;1;1
20810;146282;6791513;1;1;0
20810;146286;6837774;1;1;1
20810;146296;6836331;1;1;1
20801;146427;6836272;1;1;1
20820;146429;6836950;1;1;1
20801;146440;6836946;1;1;1
20820;146455;6836068;0;0;1
20820;146548;6836378;1;1;1
20810;146549;6837030;1;1;1
20810;146581;6839159;1;1;1
20810;146631;6835858;1;1;0
20801;146703;6791134;1;1;0
20820;146720;6836358;1;0;0
20801;146756;6852775;1;1;0
20815;146758;6840049;0;1;0
20801;146759;6840053;1;1;1
20801;146763;6848446;1;1;0
20810;146820;6836403;1;1;1
20801;146822;6836040;1;1;1
20820;146860;6836010;1;1;1
20801;146884;6836539;1;1;1
20815;146887;6837043;0;1;1
20810;146905;6837061;1;1;1
20820;146921;6836607;1;0;0
20801;146980;6837209;1;1;1
20815;147007;6856437;0;1;1
